Designator,Mid X,Mid Y,Rotation,Layer
D22,143.6,-83.9,0.0,top
D23,141.85,-93.95,0.0,top
D24,151.015,-87.25,0.0,top
D25,142.0,-99.65,270.0,top
D26,151.45,-122.4,0.0,top
D27,143.8,-73.65,90.0,top
D28,156.0,-106.65,270.0,top
D29,157.3,-111.8,0.0,top
D3,150.97,-85.05,90.0,top
D4,146.466,-93.648,180.0,top
D5,163.158,-95.232,90.0,top
D6,153.68,-105.03,90.0,top
D7,157.112,-119.155,180.0,top
D8,141.55,-78.3,90.0,top
H1,152.265,-70.23,0.0,top
H2,160.265,-81.23,0.0,top
H3,135.265,-99.23,0.0,top
H4,134.68,-125.75,0.0,top
J1,137.19,-69.34,0.0,top
J2,135.01,-110.44,90.0,top
J3,161.55,-109.98,270.0,top
J4,145.24,-68.95,0.0,top
KIBUZZARD-6A186FEC,157.254,-122.769,0.0,bottom
S3,148.4,-79.0,0.0,top
S4,138.425,-89.05,0.0,top
S5,158.387721,-89.012721,180.0,top
S6,148.391674,-99.0,0.0,top
S7,158.8,-124.65,180.0,top
U1,140.35,-73.87,180.0,top
U2,134.67,-82.67,180.0,top
